id,screenName,text,created,isRetweet,retweetCount,type
868568793475428400,CoordAltosMiran,Una Venezuela de cambio y progreso es nuestro norte #Casasdelpueblo #AltosMirandinos #Miranda https://t.co/LYAYcwHtV4,2017-05-27T20:45:12Z,FALSE,0,change
868568689863532500,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEP… https://t.co/aOKqjpz2wr",2017-05-27T20:44:47Z,FALSE,0,change
868568622368780300,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:44:31Z,FALSE,0,change
868568569805762600,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEP… https://t.co/WQba2G21Hi",2017-05-27T20:44:18Z,FALSE,0,change
868568416524927e3,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:43:42Z,FALSE,0,change
868568355594281e3,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEP… https://t.co/RivfqRKkTq",2017-05-27T20:43:27Z,FALSE,0,change
868567924646084600,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:41:45Z,FALSE,0,change
868567871563210800,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEP… https://t.co/m7WtSHVCBS",2017-05-27T20:41:32Z,FALSE,0,change
868567695557636100,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:40:50Z,FALSE,0,change
868567658119274500,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEP… https://t.co/L9wasXv6M9",2017-05-27T20:40:41Z,FALSE,0,change
868567542113194e3,avicla,Cambio Membresia por Telefono https://t.co/lw09iVViNs #Clasificados #Venezuela,2017-05-27T20:40:13Z,FALSE,0,change
868567538342531100,NDtitulares,"Capriles, a 10 años del cierre de RCTV: ¿Qué cambió o mejoró en Venezuela? ¡Nada! - https://t.co/W2GK4kW40A https://t.co/SttSrm0HkL",2017-05-27T20:40:13Z,FALSE,5,change
868567519916941300,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:40:08Z,FALSE,0,change
868567473133686800,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEP… https://t.co/ZjoQjBScTH",2017-05-27T20:39:57Z,FALSE,0,change
868567421640216600,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:39:45Z,FALSE,0,change
868567411292819500,CM_ClaudioF,@claudioefermin: Debemos incluir a todos los Vzlanos para el cambio y reconstrucción de la nueva Venezuela. La verd… https://t.co/XKMgkoFzh6,2017-05-27T20:39:42Z,FALSE,0,change
868567356775202800,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEP… https://t.co/MbgoTwBFFy",2017-05-27T20:39:29Z,FALSE,0,change
868566853538508800,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:37:29Z,FALSE,0,change
868566815764611100,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEP… https://t.co/HF8biexDFQ",2017-05-27T20:37:20Z,FALSE,0,change
868566644402118700,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:36:39Z,FALSE,0,change
868566570737512400,Alcira,"TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEP… https://t.co/Yb73MXzrad",2017-05-27T20:36:22Z,FALSE,0,change
868566472053882900,Alcira,"@panamacrioffsho TE CAMBIO A MACRI POR EL DE VENEZUELA,TODO  TERRITORIO ARGENTINO SERIA UN MAR D PLATA Y LOS RIOS UN MAR DE ORO ACEPTAS?",2017-05-27T20:35:58Z,FALSE,0,change
